term,ngram_size,is_phrase,count_real,count_dubious,total_count,in_real,in_dubious,max_real,mean_real,stdev_real,max_dubious,mean_dubious,stdev_dubious,relevance_score
accountable,1,False,450,282,732,True,True,5,1.1278,0.4203,4,1.1016,0.35,0.22950819672131148
accountant,1,False,106,32,138,True,True,2,1.06,0.2375,3,1.3333,0.5528,0.5362318840579711
accounting,1,False,203,53,256,True,True,11,1.4604,1.5971,7,1.1778,0.9016,0.5859375
accumulate,1,False,115,72,187,True,True,3,1.0952,0.3244,3,1.125,0.4146,0.22994652406417113
accuracy,1,False,303,92,395,True,True,2,1.0236,0.152,3,1.1358,0.3769,0.5341772151898734
accurate,1,False,270,292,562,True,True,3,1.0887,0.2982,3,1.1188,0.3679,0.03914590747330961
accurately,1,False,106,145,251,True,True,2,1.0495,0.2169,3,1.1069,0.3758,0.1553784860557769
accusation,1,False,1911,642,2553,True,True,11,1.2698,0.7605,9,1.2688,0.7537,0.4970622796709753
accuse,1,False,6038,1717,7755,True,True,7,1.312,0.6559,9,1.3077,0.7516,0.5571889103803997
accuser,1,False,123,127,250,True,True,8,1.4302,1.2251,9,1.6494,1.2355,0.016
achieve,1,False,1326,505,1831,True,True,7,1.1218,0.4358,4,1.1772,0.4644,0.4483888585472419
achievement,1,False,470,160,630,True,True,6,1.093,0.4781,3,1.1189,0.3446,0.49206349206349204
acid,1,False,52,188,240,True,True,13,1.4444,1.9783,48,3.3571,6.6639,0.5666666666666667
acknowledge,1,False,1759,588,2347,True,True,5,1.1133,0.3738,4,1.1329,0.416,0.49893481039625054
acknowledgment,1,False,82,21,103,True,True,2,1.038,0.1911,2,1.05,0.2179,0.5922330097087378
aclu,1,False,198,130,328,True,True,8,1.8165,1.3214,8,1.7568,1.6008,0.2073170731707317
acosta,1,False,133,101,234,True,True,22,2.7143,3.6812,12,2.7297,2.5537,0.13675213675213677
acquire,1,False,449,206,655,True,True,6,1.1572,0.531,10,1.241,0.8862,0.3709923664122137
acquisition,1,False,332,55,387,True,True,7,1.4888,1.116,5,1.4103,1.0056,0.7157622739018088
acquit,1,False,101,68,169,True,True,3,1.0632,0.2832,4,1.4468,0.8705,0.1952662721893491
acr,1,False,8,193,201,True,True,8,8.0,0.0,6,2.8382,1.4714,0.9203980099502488
acre,1,False,248,102,350,True,True,8,1.4675,1.0661,8,1.4783,1.0715,0.41714285714285715
acronym,1,False,226,23,249,True,True,6,1.0463,0.3698,1,1.0,0.0,0.8152610441767069
act,1,False,7671,3490,11161,True,True,16,1.4227,0.9916,14,1.4857,1.1504,0.3746080100349431
acting,1,False,155,48,203,True,True,4,1.0915,0.4095,3,1.1163,0.3864,0.5270935960591133
action,1,False,7309,3006,10315,True,True,22,1.4309,0.9948,12,1.4649,1.0703,0.41715947649054774
activate,1,False,91,81,172,True,True,3,1.1667,0.4056,4,1.2857,0.6768,0.05813953488372093
activation,1,False,13,116,129,True,True,2,1.1818,0.3857,6,4.64,2.1887,0.7984496124031008
active,1,False,910,499,1409,True,True,18,1.2621,1.5024,26,1.3414,1.8018,0.2916962384669979
actively,1,False,298,292,590,True,True,2,1.0493,0.2165,5,1.1496,0.4709,0.010169491525423728
activism,1,False,153,111,264,True,True,6,1.1769,0.5879,4,1.1562,0.5068,0.1590909090909091
activist,1,False,2680,1144,3824,True,True,14,1.4815,1.1077,13,1.461,1.0617,0.401673640167364
activity,1,False,2547,1126,3673,True,True,12,1.2691,0.6926,13,1.4271,1.1037,0.3868772120882113
actor,1,False,818,583,1401,True,True,20,1.4712,1.4901,21,1.5672,1.6374,0.16773733047822983
actress,1,False,346,195,541,True,True,10,1.5656,1.2299,5,1.4338,0.7737,0.27911275415896486
actual,1,False,529,720,1249,True,True,6,1.1113,0.4178,9,1.1613,0.5762,0.15292233787029624
actually,1,False,1996,3705,5701,True,True,11,1.2208,0.6493,12,1.3404,0.7788,0.29977196982985443
acute,1,False,134,38,172,True,True,2,1.0551,0.2282,3,1.1176,0.4033,0.5581395348837209
ad,1,False,1632,978,2610,True,True,46,2.2604,3.0579,20,2.1685,2.252,0.25057471264367814
adam,1,False,572,298,870,True,True,11,1.1626,0.8177,13,1.5051,1.7545,0.31494252873563217
adams,1,False,120,92,212,True,True,9,1.3333,0.9888,3,1.2603,0.574,0.1320754716981132
adapt,1,False,179,97,276,True,True,3,1.0407,0.2251,6,1.3472,1.1566,0.2971014492753623
add,1,False,12495,3010,15505,True,True,18,1.3395,0.785,9,1.2907,0.697,0.6117381489841986
addict,1,False,109,109,218,True,True,5,1.4932,0.9526,2,1.1596,0.3662,0.0
addiction,1,False,213,123,336,True,True,11,1.5,1.5325,9,1.6622,1.6047,0.26785714285714285
addition,1,False,1227,789,2016,True,True,4,1.0735,0.3014,4,1.105,0.365,0.21726190476190477
additional,1,False,2096,520,2616,True,True,6,1.1929,0.548,3,1.1556,0.4298,0.6024464831804281
additionally,1,False,109,154,263,True,True,2,1.0583,0.2342,4,1.1241,0.4262,0.17110266159695817
address,1,False,4534,1403,5937,True,True,19,1.2772,0.8259,15,1.2848,0.84,0.52737072595587
adel,1,False,89,11,100,True,True,2,1.0349,0.1835,3,1.5714,0.9035,0.78
adelson,1,False,64,41,105,True,True,9,2.3704,2.4818,9,2.05,2.1325,0.21904761904761905
aden,1,False,130,5,135,True,True,9,1.8056,1.4302,2,1.25,0.433,0.9259259259259259
adequate,1,False,221,81,302,True,True,2,1.0376,0.1901,4,1.1739,0.6128,0.46357615894039733
adequately,1,False,101,39,140,True,True,4,1.0521,0.3345,2,1.0263,0.1601,0.44285714285714284
adhere,1,False,174,64,238,True,True,3,1.061,0.2857,2,1.1228,0.3282,0.46218487394957986
adjacent,1,False,97,24,121,True,True,2,1.0211,0.1436,1,1.0,0.0,0.6033057851239669
adjourn,1,False,97,4,101,True,True,3,1.2125,0.5407,1,1.0,0.0,0.9207920792079208
adjust,1,False,359,101,460,True,True,4,1.0716,0.3291,3,1.2024,0.4304,0.5608695652173913
adjustment,1,False,355,44,399,True,True,10,1.5639,1.3632,5,1.2941,0.787,0.7794486215538847
administer,1,False,213,80,293,True,True,5,1.1576,0.5023,3,1.2308,0.5483,0.4539249146757679
administration,1,False,15432,3384,18816,True,True,18,2.0204,1.6638,13,1.7169,1.4023,0.6403061224489796
administrative,1,False,373,105,478,True,True,5,1.1003,0.3707,4,1.1413,0.4319,0.5606694560669456
administrator,1,False,496,189,685,True,True,6,1.2751,0.6756,6,1.3796,0.8724,0.4481751824817518
admiral,1,False,298,143,441,True,True,14,1.3991,1.2239,7,2.0141,1.5609,0.35147392290249435
admiration,1,False,113,49,162,True,True,3,1.0463,0.2503,5,1.1395,0.6318,0.3950617283950617
admire,1,False,187,92,279,True,True,2,1.0747,0.2629,3,1.0824,0.3148,0.34050179211469533
admission,1,False,396,261,657,True,True,13,1.4505,1.3364,21,1.4185,1.708,0.2054794520547945
admit,1,False,1247,1486,2733,True,True,16,1.2712,0.8554,11,1.2866,0.7983,0.08744968898646176
adolf,1,False,88,88,176,True,True,5,1.0602,0.4485,3,1.1,0.3391,0.0
adopt,1,False,1304,340,1644,True,True,11,1.179,0.6093,6,1.1525,0.508,0.5863746958637469
adoption,1,False,185,101,286,True,True,10,1.3121,1.1977,6,1.3836,0.9309,0.2937062937062937
adult,1,False,885,481,1366,True,True,9,1.3288,0.8063,9,1.3743,0.9739,0.2957540263543192
advance,1,False,2228,652,2880,True,True,8,1.2056,0.6136,8,1.2538,0.7448,0.5472222222222223
advanced,1,False,555,182,737,True,True,11,1.2198,0.7984,5,1.2133,0.5841,0.5061058344640434
advancement,1,False,88,45,133,True,True,2,1.0115,0.1066,2,1.0465,0.2106,0.3233082706766917
advantage,1,False,1219,428,1647,True,True,5,1.1904,0.5447,5,1.1922,0.5579,0.4802671523982999
adventure,1,False,102,56,158,True,True,4,1.2143,0.6375,4,1.1667,0.5137,0.2911392405063291
adversary,1,False,303,100,403,True,True,3,1.1058,0.3721,4,1.1364,0.4312,0.5037220843672456
adverse,1,False,89,55,144,True,True,3,1.1125,0.3871,5,1.375,0.9134,0.2361111111111111
advertise,1,False,103,88,191,True,True,6,1.1319,0.5782,2,1.1,0.3,0.07853403141361257
advertisement,1,False,204,297,501,True,True,5,1.2439,0.6545,3,1.5,0.6093,0.18562874251497005
advertiser,1,False,136,86,222,True,True,5,1.619,0.9989,12,1.4828,1.653,0.22522522522522523
advertising,1,False,548,149,697,True,True,13,1.593,1.4756,8,1.3796,0.9786,0.5724533715925395
advice,1,False,744,368,1112,True,True,8,1.2338,0.6465,8,1.2432,0.6938,0.3381294964028777
advise,1,False,1030,323,1353,True,True,4,1.147,0.4359,3,1.0912,0.3212,0.5225424981522543
adviser,1,False,4842,661,5503,True,True,11,1.5901,1.165,9,1.3975,0.8293,0.7597673996002181
advisor,1,False,469,381,850,True,True,4,1.1495,0.448,6,1.2915,0.734,0.10352941176470588
advisory,1,False,485,129,614,True,True,7,1.2278,0.7317,4,1.3871,0.7189,0.5798045602605864
advocacy,1,False,757,145,902,True,True,4,1.1282,0.3993,5,1.1983,0.6115,0.6784922394678492
advocate,1,False,2033,633,2666,True,True,6,1.2457,0.5943,17,1.2461,0.8943,0.5251312828207052
aerial,1,False,158,79,237,True,True,3,1.1367,0.419,6,1.4107,0.9215,0.3333333333333333
aerospace,1,False,149,44,193,True,True,6,1.4057,1.0796,4,1.4667,0.763,0.5440414507772021
aetna,1,False,107,23,130,True,True,10,1.4861,1.3642,5,1.7692,1.4756,0.6461538461538462
afar,1,False,83,21,104,True,True,10,2.3714,2.4621,2,1.2353,0.4242,0.5961538461538461
afd,1,False,723,29,752,True,True,20,3.5441,3.9049,9,4.8333,2.9107,0.9228723404255319
affair,1,False,1875,784,2659,True,True,9,1.1867,0.6037,13,1.3288,0.9444,0.4103046257991726
affairs,1,False,498,89,587,True,True,4,1.1318,0.4532,3,1.1558,0.3969,0.696763202725724
affect,1,False,2273,726,2999,True,True,5,1.2175,0.5466,5,1.1824,0.5098,0.515838612870957
affected,1,False,149,31,180,True,True,4,1.0719,0.3526,2,1.069,0.2534,0.6555555555555556
affidavit,1,False,75,77,152,True,True,6,1.5957,0.982,8,1.6042,1.5102,0.013157894736842105
affiliate,1,False,538,334,872,True,True,8,1.1374,0.4954,5,1.1929,0.5464,0.23394495412844038
affiliation,1,False,160,91,251,True,True,2,1.0256,0.1581,3,1.1519,0.4236,0.2749003984063745
affirm,1,False,229,90,319,True,True,4,1.0553,0.2985,2,1.1688,0.3746,0.43573667711598746
affirmative,1,False,95,64,159,True,True,8,1.3971,1.1522,7,1.4545,1.1957,0.1949685534591195
affluent,1,False,117,33,150,True,True,3,1.1471,0.3808,2,1.375,0.4841,0.56
afford,1,False,620,368,988,True,True,4,1.1252,0.3819,6,1.2105,0.5693,0.2550607287449393
affordable,1,False,1447,403,1850,True,True,17,1.4398,1.1809,8,1.5804,1.24,0.5643243243243243
afghan,1,False,1135,202,1337,True,True,19,3.0267,2.7099,18,2.8451,3.8001,0.6978309648466716
afghanistan,1,False,2400,541,2941,True,True,27,2.5641,2.8931,26,1.8527,2.475,0.6320979258755526
afl,1,False,109,10,119,True,True,7,1.7581,1.4993,2,1.1111,0.3143,0.8319327731092437
afp,1,False,105,98,203,True,True,7,1.3636,0.836,4,1.3067,0.6319,0.034482758620689655
afraid,1,False,486,465,951,True,True,4,1.1768,0.4874,4,1.1954,0.5393,0.022082018927444796
africa,1,False,1855,540,2395,True,True,29,1.7667,1.8026,32,2.069,3.2393,0.5490605427974948
african,1,False,2171,1233,3404,True,True,27,1.6726,1.5044,50,1.9206,3.1487,0.27555816686251466
aftermath,1,False,377,168,545,True,True,3,1.062,0.2634,5,1.1275,0.4379,0.3834862385321101
afternoon,1,False,1047,359,1406,True,True,4,1.1368,0.4204,6,1.1361,0.4811,0.48933143669985774
afterward,1,False,269,71,340,True,True,2,1.0508,0.2196,4,1.0758,0.4012,0.5823529411764706
ag,1,False,210,106,316,True,True,15,1.6667,1.9437,6,1.5143,1.1679,0.3291139240506329
age,1,False,2136,1223,3359,True,True,25,1.3961,1.2051,15,1.4456,1.1603,0.27180708544209586
aged,1,False,84,63,147,True,True,3,1.1053,0.3471,4,1.1455,0.5852,0.14285714285714285
agency,1,False,10957,2244,13201,True,True,37,1.793,1.6017,19,1.7559,1.6132,0.6600257556245739
agenda,1,False,2263,1044,3307,True,True,11,1.3119,0.7507,13,1.3995,1.0006,0.36861203507710916
agent,1,False,1863,1688,3551,True,True,20,1.7509,1.7453,19,2.0167,2.2261,0.049281892424669106
aggravate,1,False,113,42,155,True,True,3,1.066,0.2838,3,1.1351,0.4743,0.45806451612903226
aggression,1,False,391,330,721,True,True,4,1.1366,0.391,4,1.2791,0.6407,0.08460471567267684
aggressive,1,False,915,356,1271,True,True,4,1.1366,0.4155,7,1.2234,0.6696,0.43981117230527145
aggressively,1,False,318,86,404,True,True,2,1.0565,0.2308,4,1.0886,0.4266,0.5742574257425742
ago,1,False,4578,2109,6687,True,True,9,1.1994,0.5497,9,1.229,0.6169,0.36922386720502465
agree,1,False,5760,1641,7401,True,True,11,1.3269,0.7437,10,1.2682,0.6578,0.5565464126469396
agreement,1,False,6272,1143,7415,True,True,14,1.7583,1.487,14,1.6784,1.4943,0.6917060013486177
agricultural,1,False,330,75,405,True,True,6,1.3924,0.9198,14,1.5625,2.0505,0.6296296296296297
agriculture,1,False,588,137,725,True,True,9,1.5273,1.1418,6,1.4271,0.9655,0.6220689655172413
ah,1,False,74,52,126,True,True,8,2.3871,2.0896,2,1.0612,0.2397,0.1746031746031746
ahead,1,False,3965,674,4639,True,True,6,1.1513,0.4175,5,1.1104,0.3667,0.7094201336494934
ahmad,1,False,231,20,251,True,True,41,1.75,3.6335,3,1.3333,0.6992,0.8406374501992032
ahmed,1,False,344,86,430,True,True,22,1.3984,1.5682,8,2.15,1.9436,0.6
ai,1,False,126,62,188,True,True,25,1.75,2.9662,6,1.6757,1.2532,0.3404255319148936
aid,1,False,3406,701,4107,True,True,15,1.8117,1.6531,11,1.402,0.9841,0.6586316045775505
aide,1,False,3360,692,4052,True,True,12,1.5217,1.0702,8,1.4599,0.8639,0.6584402764067128
aids,1,False,72,53,125,True,True,5,1.5652,1.0765,4,1.7097,1.1128,0.152
ail,1,False,78,26,104,True,True,2,1.013,0.1132,3,1.1304,0.4476,0.5
aile,1,False,54,206,260,True,True,6,1.6875,1.2359,13,3.8868,3.4073,0.5846153846153846
ailes,1,False,179,36,215,True,True,26,5.5938,6.5472,4,1.5,1.0408,0.6651162790697674
aim,1,False,3634,787,4421,True,True,6,1.1385,0.4116,6,1.1324,0.4152,0.6439719520470482
air,1,False,5187,1749,6936,True,True,18,1.6551,1.5431,18,1.661,1.6572,0.49567474048442905
airbase,1,False,75,35,110,True,True,5,1.2931,0.7658,3,1.25,0.5089,0.36363636363636365
airbnb,1,False,160,24,184,True,True,32,3.3333,5.7855,12,4.8,4.7497,0.7391304347826086
airbus,1,False,133,14,147,True,True,8,1.622,1.2261,2,1.2727,0.4454,0.8095238095238095
aircraft,1,False,1323,417,1740,True,True,28,1.7294,1.7568,15,1.821,1.5827,0.5206896551724138
aire,1,False,116,13,129,True,True,4,1.6111,1.0077,3,1.4444,0.6849,0.7984496124031008
airfield,1,False,132,15,147,True,True,5,1.4667,0.9568,3,1.25,0.5951,0.7959183673469388
airline,1,False,882,119,1001,True,True,21,2.095,2.1949,6,1.4691,0.9569,0.7622377622377622
airlines,1,False,147,29,176,True,True,5,1.5,0.7726,4,1.6111,0.951,0.6704545454545454
airplane,1,False,183,72,255,True,True,5,1.2979,0.702,2,1.0746,0.2628,0.43529411764705883
airport,1,False,2006,460,2466,True,True,19,1.8836,1.8903,27,1.9328,2.8217,0.6269261962692619
airspace,1,False,171,71,242,True,True,8,1.487,1.1599,3,1.2909,0.5931,0.4132231404958678
airstrike,1,False,382,235,617,True,True,13,2.1222,2.0129,8,1.7407,1.2821,0.23824959481361427
airways,1,False,102,2,104,True,True,4,1.4783,0.8446,2,2.0,0.0,0.9615384615384616
aisle,1,False,175,115,290,True,True,3,1.0606,0.2628,2,1.0268,0.1615,0.20689655172413793
ak,1,False,116,33,149,True,True,6,1.2889,0.8595,7,1.2222,1.1331,0.5570469798657718
aka,1,False,19,134,153,True,True,1,1.0,0.0,3,1.0635,0.2745,0.7516339869281046
akbar,1,False,95,43,138,True,True,4,1.2179,0.5225,4,1.4828,0.8146,0.37681159420289856
akihito,1,False,108,0,108,True,False,15,5.1429,3.4954,0,0.0,0.0,1.0
akin,1,False,98,52,150,True,True,2,1.0316,0.1749,5,1.2683,0.8841,0.30666666666666664
al,1,False,5486,2476,7962,True,True,27,1.9331,1.8996,31,2.6201,3.1854,0.3780457171564933
alabama,1,False,1052,478,1530,True,True,13,1.8619,1.911,50,2.5699,5.3166,0.37516339869281046
alan,1,False,250,130,380,True,True,14,1.1211,0.9077,8,1.5116,1.118,0.3157894736842105
alarm,1,False,731,216,947,True,True,6,1.091,0.4115,6,1.2135,0.7185,0.5438225976768744
alarmed,1,False,108,18,126,True,True,2,1.0189,0.1361,1,1.0,0.0,0.7142857142857143
alarming,1,False,144,113,257,True,True,2,1.0286,0.1666,2,1.018,0.133,0.12062256809338522
alaska,1,False,479,135,614,True,True,12,1.483,1.2199,9,1.3918,0.9692,0.5602605863192183
albania,1,False,84,23,107,True,True,12,2.2703,2.2857,2,1.2778,0.4479,0.5700934579439252
albanian,1,False,98,11,109,True,True,6,1.8148,1.3204,2,1.375,0.4841,0.7981651376146789
albeit,1,False,122,84,206,True,True,1,1.0,0.0,1,1.0,0.0,0.18446601941747573
alberto,1,False,93,14,107,True,True,4,1.2568,0.638,2,1.1667,0.3727,0.7383177570093458
albright,1,False,57,80,137,True,True,6,1.5,0.9665,14,2.7586,3.2447,0.1678832116788321
albu,1,False,108,0,108,True,False,8,2.6341,2.3033,0,0.0,0.0,1.0
album,1,False,483,57,540,True,True,39,4.1282,5.4859,5,1.5405,1.1293,0.7888888888888889
alcohol,1,False,282,196,478,True,True,23,1.6207,2.3501,15,1.4962,1.775,0.1799163179916318
alejandro,1,False,134,20,154,True,True,3,1.0551,0.2604,3,1.5385,0.8427,0.7402597402597403
aleppo,1,False,578,729,1307,True,True,21,3.1243,4.1199,25,3.6633,4.1592,0.11553175210405509
alert,1,False,465,298,763,True,True,20,1.2205,1.0837,5,1.2314,0.6201,0.21887287024901703
alex,1,False,312,524,836,True,True,5,1.1685,0.495,18,1.3333,1.2933,0.2535885167464115
alexander,1,False,583,139,722,True,True,10,1.4254,1.278,6,1.3238,0.7745,0.6149584487534626
alexandria,1,False,96,37,133,True,True,4,1.2468,0.6064,2,1.1562,0.3631,0.44360902255639095
algeria,1,False,136,15,151,True,True,9,2.386,2.2302,4,1.6667,0.9428,0.8013245033112583
algerian,1,False,72,40,112,True,True,6,1.8462,1.2308,28,4.4444,8.3813,0.2857142857142857
algorithm,1,False,90,48,138,True,True,10,1.6667,1.5275,5,1.3714,0.8972,0.30434782608695654
ali,1,False,930,200,1130,True,True,53,1.8058,3.2841,13,1.8182,2.154,0.6460176991150443
alice,1,False,80,54,134,True,True,2,1.1111,0.3143,19,1.8621,3.2876,0.19402985074626866
alien,1,False,514,651,1165,True,True,45,2.2544,3.3829,46,2.1205,3.1263,0.11759656652360514
alienate,1,False,276,100,376,True,True,4,1.0656,0.3037,2,1.0638,0.2444,0.46808510638297873
align,1,False,585,182,767,True,True,5,1.0754,0.3686,4,1.1166,0.4202,0.5254237288135594
alignment,1,False,81,30,111,True,True,4,1.209,0.6118,3,1.2,0.4899,0.4594594594594595
alike,1,False,248,132,380,True,True,3,1.0377,0.2112,4,1.0645,0.3298,0.30526315789473685
alive,1,False,418,331,749,True,True,3,1.1328,0.4181,7,1.1738,0.5538,0.11615487316421896
allah,1,False,82,147,229,True,True,13,1.6735,1.8338,14,2.1,2.237,0.2838427947598253
allegation,1,False,3446,794,4240,True,True,11,1.5418,1.1691,13,1.4204,1.0135,0.6254716981132076
allege,1,False,1439,829,2268,True,True,7,1.1776,0.5024,10,1.2734,0.7968,0.2689594356261023
alleged,1,False,789,417,1206,True,True,4,1.1113,0.3485,6,1.1914,0.5811,0.30845771144278605
allegedly,1,False,490,664,1154,True,True,8,1.198,0.5953,11,1.2696,0.8145,0.15077989601386482
allegiance,1,False,293,141,434,True,True,4,1.1445,0.4663,5,1.1653,0.5655,0.35023041474654376
allen,1,False,206,161,367,True,True,5,1.3919,0.9052,12,1.7692,1.7795,0.1226158038147139
allergy,1,False,70,46,116,True,True,5,1.4,0.8,11,1.7037,2.015,0.20689655172413793
alleviate,1,False,97,35,132,True,True,2,1.0104,0.1015,1,1.0,0.0,0.4696969696969697
alliance,1,False,2080,449,2529,True,True,10,1.4045,0.8868,8,1.3815,0.8956,0.6449189402926058
allied,1,False,121,33,154,True,True,2,1.0522,0.2224,2,1.0312,0.174,0.5714285714285714
allison,1,False,119,31,150,True,True,30,1.6528,3.7975,4,1.1923,0.6214,0.5866666666666667
allocate,1,False,217,79,296,True,True,3,1.1302,0.3936,2,1.0676,0.251,0.46621621621621623
allow,1,False,8858,3462,12320,True,True,15,1.3888,0.8155,14,1.3937,0.9024,0.437987012987013
