year,month,day,date,state,country,continent,subcontinent,fake_count,real_count
2015,4.0,19.0,2015-04-19,Massachusetts,United States of America,Americas,Northern America,0.0,2.0
2015,4.0,19.0,2015-04-19,New York,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,19.0,2015-04-19,Russian Federation,Russian Federation,Europe,Eastern Europe,0.0,1.0
2015,4.0,19.0,2015-04-19,United States of America,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,20.0,2015-04-20,District of Columbia,United States of America,Americas,Northern America,0.0,2.0
2015,4.0,20.0,2015-04-20,New York,United States of America,Americas,Northern America,0.0,2.0
2015,4.0,20.0,2015-04-20,Texas,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,20.0,2015-04-20,United States of America,United States of America,Americas,Northern America,0.0,3.0
2015,4.0,21.0,2015-04-21,Cairo Governorate,Egypt,Africa,Northern Africa,0.0,1.0
2015,4.0,21.0,2015-04-21,California,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,21.0,2015-04-21,District of Columbia,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,21.0,2015-04-21,Florida,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,21.0,2015-04-21,Khartoum,Sudan,Africa,Northern Africa,0.0,2.0
2015,4.0,21.0,2015-04-21,Michigan,United States of America,Americas,Northern America,0.0,4.0
2015,4.0,21.0,2015-04-21,New York,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,21.0,2015-04-21,Texas,United States of America,Americas,Northern America,0.0,4.0
2015,4.0,21.0,2015-04-21,United States of America,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,22.0,2015-04-22,Illinois,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,22.0,2015-04-22,Jalalabad,Afghanistan,Asia,Southern Asia,0.0,1.0
2015,4.0,22.0,2015-04-22,Kentucky,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,22.0,2015-04-22,Minnesota,United States of America,Americas,Northern America,0.0,3.0
2015,4.0,22.0,2015-04-22,New Hampshire,United States of America,Americas,Northern America,0.0,3.0
2015,4.0,22.0,2015-04-22,New Jersey,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,22.0,2015-04-22,New York,United States of America,Americas,Northern America,0.0,4.0
2015,4.0,22.0,2015-04-22,South Carolina,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,22.0,2015-04-22,United States of America,United States of America,Americas,Northern America,0.0,5.0
2015,4.0,23.0,2015-04-23,District of Columbia,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,23.0,2015-04-23,Iran (Islamic Republic of),Iran (Islamic Republic of),Asia,Southern Asia,0.0,10.0
2015,4.0,23.0,2015-04-23,Russian Federation,Russian Federation,Europe,Eastern Europe,0.0,1.0
2015,4.0,23.0,2015-04-23,Syrian Arab Republic,Syrian Arab Republic,Asia,Western Asia,0.0,1.0
2015,4.0,23.0,2015-04-23,Tennessee,United States of America,Americas,Northern America,0.0,2.0
2015,4.0,23.0,2015-04-23,United States of America,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,24.0,2015-04-24,District of Columbia,United States of America,Americas,Northern America,0.0,3.0
2015,4.0,24.0,2015-04-24,Germany,Germany,Europe,Western Europe,0.0,1.0
2015,4.0,24.0,2015-04-24,Illinois,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,24.0,2015-04-24,Iran (Islamic Republic of),Iran (Islamic Republic of),Asia,Southern Asia,0.0,1.0
2015,4.0,24.0,2015-04-24,Massachusetts,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,24.0,2015-04-24,Michigan,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,24.0,2015-04-24,Texas,United States of America,Americas,Northern America,0.0,4.0
2015,4.0,24.0,2015-04-24,United States of America,United States of America,Americas,Northern America,0.0,6.0
2015,4.0,25.0,2015-04-25,Missouri,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,25.0,2015-04-25,New Hampshire,United States of America,Americas,Northern America,0.0,2.0
2015,4.0,26.0,2015-04-26,Argentina,Argentina,Americas,South America,0.0,1.0
2015,4.0,26.0,2015-04-26,District of Columbia,United States of America,Americas,Northern America,0.0,2.0
2015,4.0,26.0,2015-04-26,Illinois,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,26.0,2015-04-26,Kentucky,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,26.0,2015-04-26,Maryland,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,26.0,2015-04-26,Pennsylvania,United States of America,Americas,Northern America,0.0,2.0
2015,4.0,26.0,2015-04-26,Texas,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,26.0,2015-04-26,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,0.0,1.0
2015,4.0,26.0,2015-04-26,United States of America,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,27.0,2015-04-27,Baghdad Governorate,Iraq,Asia,Western Asia,0.0,4.0
2015,4.0,27.0,2015-04-27,California,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,27.0,2015-04-27,Damascus,Syrian Arab Republic,Asia,Western Asia,0.0,1.0
2015,4.0,27.0,2015-04-27,District of Columbia,United States of America,Americas,Northern America,0.0,2.0
2015,4.0,27.0,2015-04-27,Iran (Islamic Republic of),Iran (Islamic Republic of),Asia,Southern Asia,0.0,3.0
2015,4.0,27.0,2015-04-27,Iraq,Iraq,Asia,Western Asia,0.0,1.0
2015,4.0,27.0,2015-04-27,Moscow,Russian Federation,Europe,Eastern Europe,0.0,1.0
2015,4.0,27.0,2015-04-27,New York,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,27.0,2015-04-27,Qatar,Qatar,Asia,Western Asia,0.0,1.0
2015,4.0,27.0,2015-04-27,Russian Federation,Russian Federation,Europe,Eastern Europe,0.0,6.0
2015,4.0,27.0,2015-04-27,Syrian Arab Republic,Syrian Arab Republic,Asia,Western Asia,0.0,10.0
2015,4.0,27.0,2015-04-27,Texas,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,28.0,2015-04-28,China,China,Asia,Eastern Asia,0.0,1.0
2015,4.0,28.0,2015-04-28,Colorado,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,28.0,2015-04-28,District of Columbia,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,29.0,2015-04-29,Costa Rica,Costa Rica,Americas,Central America,0.0,1.0
2015,4.0,29.0,2015-04-29,Egypt,Egypt,Africa,Northern Africa,0.0,1.0
2015,4.0,29.0,2015-04-29,Florida,United States of America,Americas,Northern America,0.0,3.0
2015,4.0,29.0,2015-04-29,Georgia,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,29.0,2015-04-29,Haiti,Haiti,Americas,Caribbean,0.0,1.0
2015,4.0,29.0,2015-04-29,Iraq,Iraq,Asia,Western Asia,0.0,4.0
2015,4.0,29.0,2015-04-29,Nicaragua,Nicaragua,Americas,Central America,0.0,1.0
2015,4.0,29.0,2015-04-29,Oklahoma,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,29.0,2015-04-29,Panama,Panama,Americas,Central America,0.0,7.0
2015,4.0,29.0,2015-04-29,United States of America,United States of America,Americas,Northern America,0.0,2.0
2015,4.0,30.0,2015-04-30,Florida,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,30.0,2015-04-30,Germany,Germany,Europe,Western Europe,0.0,2.0
2015,4.0,30.0,2015-04-30,Russian Federation,Russian Federation,Europe,Eastern Europe,0.0,1.0
2015,4.0,30.0,2015-04-30,United States of America,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,1.0,2015-05-01,California,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,1.0,2015-05-01,District of Columbia,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,1.0,2015-05-01,Illinois,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,1.0,2015-05-01,Iran (Islamic Republic of),Iran (Islamic Republic of),Asia,Southern Asia,0.0,13.0
2015,5.0,1.0,2015-05-01,Massachusetts,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,1.0,2015-05-01,Minnesota,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,1.0,2015-05-01,New York,United States of America,Americas,Northern America,0.0,4.0
2015,5.0,1.0,2015-05-01,Pennsylvania,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,1.0,2015-05-01,Syrian Arab Republic,Syrian Arab Republic,Asia,Western Asia,0.0,3.0
2015,5.0,1.0,2015-05-01,United States of America,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,2.0,2015-05-02,Missouri,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,4.0,2015-05-04,California,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,4.0,2015-05-04,United States of America,United States of America,Americas,Northern America,0.0,3.0
2015,5.0,5.0,2015-05-05,Afghanistan,Afghanistan,Asia,Southern Asia,0.0,2.0
2015,5.0,5.0,2015-05-05,District of Columbia,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,5.0,2015-05-05,Egypt,Egypt,Africa,Northern Africa,0.0,1.0
2015,5.0,5.0,2015-05-05,Iraq,Iraq,Asia,Western Asia,0.0,1.0
2015,5.0,5.0,2015-05-05,Metropolitan City Of Rome Capital,Italy,Europe,Southern Europe,0.0,1.0
2015,5.0,5.0,2015-05-05,New York,United States of America,Americas,Northern America,0.0,4.0
2015,5.0,5.0,2015-05-05,Pakistan,Pakistan,Asia,Southern Asia,0.0,1.0
2015,5.0,5.0,2015-05-05,Somalia,Somalia,Africa,Eastern Africa,0.0,1.0
2015,5.0,5.0,2015-05-05,Sudan,Sudan,Africa,Northern Africa,0.0,1.0
2015,5.0,5.0,2015-05-05,Syrian Arab Republic,Syrian Arab Republic,Asia,Western Asia,0.0,1.0
2015,5.0,5.0,2015-05-05,Texas,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,5.0,2015-05-05,Tunisia,Tunisia,Africa,Northern Africa,0.0,1.0
2015,5.0,5.0,2015-05-05,United States of America,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,6.0,2015-05-06,Arkansas,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,6.0,2015-05-06,District of Columbia,United States of America,Americas,Northern America,0.0,6.0
2015,5.0,6.0,2015-05-06,Kentucky,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,6.0,2015-05-06,Pakistan,Pakistan,Asia,Southern Asia,0.0,2.0
2015,5.0,6.0,2015-05-06,United States of America,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,7.0,2015-05-07,District of Columbia,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,7.0,2015-05-07,Libya,Libya,Africa,Northern Africa,0.0,2.0
2015,5.0,7.0,2015-05-07,Metropolitan City Of Rome Capital,Italy,Europe,Southern Europe,0.0,1.0
2015,5.0,7.0,2015-05-07,New Hampshire,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,7.0,2015-05-07,New York,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,7.0,2015-05-07,Syrian Arab Republic,Syrian Arab Republic,Asia,Western Asia,0.0,4.0
2015,5.0,7.0,2015-05-07,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,0.0,2.0
2015,5.0,7.0,2015-05-07,United States of America,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,8.0,2015-05-08,New York,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,8.0,2015-05-08,United States of America,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,9.0,2015-05-09,Algeria,Algeria,Africa,Northern Africa,0.0,1.0
2015,5.0,9.0,2015-05-09,Arkansas,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,9.0,2015-05-09,Cuba,Cuba,Americas,Caribbean,0.0,1.0
2015,5.0,9.0,2015-05-09,Florida,United States of America,Americas,Northern America,0.0,5.0
2015,5.0,9.0,2015-05-09,Georgia,Georgia,Asia,Western Asia,0.0,1.0
2015,5.0,9.0,2015-05-09,Iowa,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,9.0,2015-05-09,Louisiana,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,9.0,2015-05-09,New Jersey,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,9.0,2015-05-09,New York,United States of America,Americas,Northern America,0.0,5.0
2015,5.0,9.0,2015-05-09,Ohio,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,9.0,2015-05-09,Oregon,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,9.0,2015-05-09,Pennsylvania,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,9.0,2015-05-09,South Carolina,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,9.0,2015-05-09,Texas,United States of America,Americas,Northern America,0.0,3.0
2015,5.0,9.0,2015-05-09,Utah,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,9.0,2015-05-09,Virginia,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,9.0,2015-05-09,York,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,0.0,1.0
2015,5.0,10.0,2015-05-10,United States of America,United States of America,Americas,Northern America,0.0,3.0
2015,5.0,11.0,2015-05-11,Arkansas,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,11.0,2015-05-11,Illinois,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,11.0,2015-05-11,Oregon,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,11.0,2015-05-11,United States of America,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,11.0,2015-05-11,Wisconsin,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,12.0,2015-05-12,New York,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,12.0,2015-05-12,Oregon,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,13.0,2015-05-13,California,United States of America,Americas,Northern America,0.0,4.0
2015,5.0,13.0,2015-05-13,China,China,Asia,Eastern Asia,0.0,1.0
2015,5.0,13.0,2015-05-13,District of Columbia,United States of America,Americas,Northern America,0.0,3.0
2015,5.0,13.0,2015-05-13,India,India,Asia,Southern Asia,0.0,1.0
2015,5.0,13.0,2015-05-13,Iran (Islamic Republic of),Iran (Islamic Republic of),Asia,Southern Asia,0.0,2.0
2015,5.0,13.0,2015-05-13,London,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,0.0,5.0
2015,5.0,13.0,2015-05-13,Maryland,United States of America,Americas,Northern America,0.0,4.0
2015,5.0,13.0,2015-05-13,Massachusetts,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,13.0,2015-05-13,Russian Federation,Russian Federation,Europe,Eastern Europe,0.0,1.0
2015,5.0,13.0,2015-05-13,Syrian Arab Republic,Syrian Arab Republic,Asia,Western Asia,0.0,1.0
2015,5.0,13.0,2015-05-13,Ukraine,Ukraine,Europe,Eastern Europe,0.0,1.0
2015,5.0,13.0,2015-05-13,United States of America,United States of America,Americas,Northern America,0.0,4.0
2015,5.0,13.0,2015-05-13,Wisconsin,United States of America,Americas,Northern America,0.0,4.0
2015,5.0,14.0,2015-05-14,Arkansas,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,14.0,2015-05-14,District of Columbia,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,14.0,2015-05-14,Illinois,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,14.0,2015-05-14,Iraq,Iraq,Asia,Western Asia,0.0,1.0
2015,5.0,14.0,2015-05-14,Missouri,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,14.0,2015-05-14,Syrian Arab Republic,Syrian Arab Republic,Asia,Western Asia,0.0,1.0
2015,5.0,14.0,2015-05-14,United States of America,United States of America,Americas,Northern America,0.0,5.0
2015,5.0,15.0,2015-05-15,Georgia,Georgia,Asia,Western Asia,0.0,1.0
2015,5.0,15.0,2015-05-15,Germany,Germany,Europe,Western Europe,0.0,1.0
2015,5.0,15.0,2015-05-15,Israel,Israel,Asia,Western Asia,0.0,3.0
2015,5.0,15.0,2015-05-15,Kenya,Kenya,Africa,Eastern Africa,0.0,2.0
2015,5.0,15.0,2015-05-15,London,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,0.0,1.0
2015,5.0,15.0,2015-05-15,New York,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,15.0,2015-05-15,Russian Federation,Russian Federation,Europe,Eastern Europe,0.0,1.0
2015,5.0,15.0,2015-05-15,United States of America,United States of America,Americas,Northern America,0.0,2.0
2015,5.0,16.0,2015-05-16,California,United States of America,Americas,Northern America,0.0,9.0
2015,5.0,16.0,2015-05-16,District of Columbia,United States of America,Americas,Northern America,0.0,1.0
2015,5.0,16.0,2015-05-16,Florida,United States of America,Americas,Northern America,0.0,2.0
